PASAL,DESKRIPSI,DENDA,MASA TAHANAN
A1,MENGEMUDI TANPA HELM,$2.00 ,0 BULAN
A2,TIDAK MEMILIKI SIM,$3.00 ,0 BULAN
A3,KENDARAAN TANPA PLAT,$4.00 ,0 BULAN
A4,PARKIR SEMBARANGAN,$6.00 ,0 BULAN
A5,KENDARAAN DI ZONA TERLARANG,$7.00 ,0 BULAN
A6,TIDAK MEMBAYAR TOL,$8.00 ,0 BULAN
A7,MELAWAN ARUS JALAN,$9.00 ,0 BULAN
A8,SPEEDING/NGEBUT,$9.50 ,0 BULAN
A9,BERKENDARA UGAL-UGALAN,$6.00 ,0 BULAN
A10,KABUR SAAT RAZIA,$7.50 ,0 BULAN
A11,BALAPAN LIAR,$9.00 ,15 BULAN
A12,TRUCK DI AREA KERAMAIAN,$6.00 ,0 BULAN
A13,KENDARAAN DI TKP PEPERANGAN,$10.00 ,0 BULAN
A14,BARANG ILEGAL DI KENDARAAN,$13.00 ,0 BULAN
A15,SENJATA DI KENDARAAN,$15.00 ,0 BULAN
A16,MENGHAMBAT ARUS LALU LINTAS,$10.00 ,0 BULAN
A17,MENGHAMBAT KENDARAAN PRIORITAS,$7.00 ,0 BULAN
,,,
B1,TIDAK ADA IDENTITAS/KTP,$5.00 ,10 BULAN
B2,MENYALAHGUNAKAN HOTLINE,$8.00 ,5 BULAN
B3,KERIBUTAN DI TEMPAT UMUM,$1.20 ,5 BULAN
B4,PENCEMARAN NAMA BAIK WARGA,$1.50 ,5 BULAN
B5,PENGHINAAN WARGA,$1.60 ,10 BULAN
B6,PENCEMARAN NAMA BAIK INSTANSI,$1.80 ,10 BULAN
B7,PENGHINAAN INSTANSI,$20.00 ,5 BULAN
B8,MERUSAK FASILITAS UMUM,$2.50 ,5 BULAN
B9,MERUSAK ASET PRIBADI,$30.00 ,5 BULAN
B10,KEKERASAN FISIK,$3.50 ,5 BULAN
B11,PENIPUAN,$40.00 ,5 BULAN
B12,PELECEHAN SEKSUAL,$4.50 ,5 BULAN
B13,MEMBERI INFORMASI PALSU,$50.00 ,10 BULAN
B14,LAPORAN PALSU KE POLISI,$5.50 ,10 BULAN
B15,BAWA SAJAM/TUMPUL DI UMUM,$50.00 ,10 BULAN
B16,KABUR SAAT DIBERHENTIKAN,$20.00 ,5 BULAN
B17,PENYALAHGUNAAN SAJAM/TUMPUL,$60.00 ,5 BULAN
B18,PEMALAKAN/PUNGLI,$50.00 ,15 BULAN
B19,PERBURUAN ILEGAL SATWA LIAR,$40.00 ,10 BULAN
B20,PEMBEGALAN (BEGAL),$40.00 ,5 BULAN
B21,MENANGKAP/MENJUAL SATWA DILINDUNGI,$60.00 ,15 BULAN
,,,
C1,PENGEDARAN SENJATA API ILEGAL,$80.00 ,20 BULAN
C2,KEPEMILIKAN SENJATA TAJAM DAN TUMPUL,$80.00 ,5 BULAN
C3,KEPEMILIKAN SENJATA API ILEGAL (LARAS PENDEK),$100.00 ,5 BULAN
C4,KEPEMILIKAN SENJATA API ILEGAL (LARAS MENENGAH),$80.00 ,15 BULAN
C5,KEPEMILIKAN SENJATA API ILEGAL (LARAS PANJANG),$50.00 ,15 BULAN
C6,MEMPRODUKSI SENJATA API ILEGAL,$10.00 ,20 BULAN
C7,TIDAK MEMILIKI LISENSI SENJATA API RESMI KEPOLISIAN,$10.00 ,10 BULAN
C8,MELAKUKAN PENYANDRAAN KEPADA WARGA,$15.00 ,10 BULAN
C9,MELAKUKAN PENYANDRAAN KEPADA PETUGAS KEPOLISIAN,$20.00 ,10 BULAN
C10,MELAKUKAN PENYANDRAAN KEPADA ANGGOTA INSTANSI,$20.00 ,10 BULAN
C11,UPAYA PEMBUNUHAN KEPADA WARGA MAUPUN PETUGAS,$15.00 ,15 BULAN
C12,PENDONGAN TERHADAP WARGA,$10.00 ,10 BULAN
C13,PENDONGAN TERHADAP PETUGAS KEPOLISIAN,$10.00 ,10 BULAN
C14,MELAKUKAN PENEMBAKAN TERHADAP WARGA,$10.00 ,10 BULAN
C15,MELAKUKAN PENEMBAKAN TERHADAP PETUGAS KEPOLISIAN,$15.00 ,10 BULAN
C16,PERAMPOKAN WARUNG BERSENJATA,$15.00 ,5 BULAN
C17,PERPERANGAN ANTAR KELOMPOK,$5.00 ,5 BULAN
C18,MENCOBA MENJADI POLISI GADUNGAN,$20.00 ,10 BULAN
C19,UPAYA PENGHILANGAN BARANG BUKTI,$10.00 ,5 BULAN
C20,PERAMPOKAN WARGA MAUPUN PETUGAS / INSTANSI,$10.00 ,10 BULAN
C21,MENCOBA UNTUK MEMBANTU KRIMINALISME,$15.00 ,10 BULAN
C22,MELAKUKAN PERAMPOKAN BANK BESAR,$30.00 ,30 BULAN
C23,MELAKUKAN TINDAKAN KORUPSI INSTANSI,$50.00 ,0
C24,TERORISME,$50.00 ,0
